Sexo productor;Area (Ha);Total_Arboles;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
Hombre;0.35;350;5;No;Si;No;No;No;Si;No;No;13.6018868;-89.468457;688;0;Si;Si;Si;No;Si;No;0.704;2.082605
Hombre;1;200;26;No;Si;No;No;No;No;No;No;13.51788167;-88.87308833;593.9;25;Si;Si;Si;Si;Si;Si;0.71984;11.44
Hombre;1;50;6;No;Si;No;No;No;No;No;No;13.6003933;-88.957509;497;0;Si;Si;Si;Si;Si;Si;0.3168;3.1
Hombre;11.5;11500;2.4;No;No;No;No;No;Si;No;No;13.9329243;-88.634224;769;34.7826087;Si;Si;Si;Si;Si;Si;2.28624;13.51
Hombre;0.7;300;5;No;Si;No;No;No;Si;No;No;13.511638;-89.438829;47;0;Si;Si;Si;Si;Si;No;0.52536;1.938403
Hombre;0.7;625;21;No;Si;No;No;No;No;Si;No;13.759625;-89.654043;498;0;Si;Si;Si;Si;No;Si;5.29232;13.540167
Mujer;1.2;900;6.6;No;Si;No;No;No;Si;No;No;13.620568;-88.819902;815;22.22222222;No;Si;Si;No;Si;Si;0.61864;3.62
Hombre;0.3;100;6;No;No;No;No;Si;Si;No;No;13.7996672;-88.213871;999;0;No;Si;Si;Si;Si;Si;0.18304;1.408
Hombre;1.5;650;4;Si;Si;No;No;No;No;No;No;13.435069;-88.914503;33;0;Si;Si;Si;Si;Si;Si;1.0736;8.2
Hombre;0.65;300;9.7;No;Si;No;No;No;Si;Si;No;13.4117051;-88.516688;389;0;Si;Si;No;Si;Si;Si;0.13024;2.75
Hombre;1;900;11;No;No;No;No;No;Si;No;No;13.92745;-88.643963;582;0;Si;Si;No;No;No;No;1.01992;6.01
Hombre;17.47;17500;4.1;No;No;No;No;Si;Si;No;No;13.9613657;-89.189808;298;95;No;Si;No;No;No;No;10.57936;0
Hombre;1;150;6;No;Si;No;No;No;No;No;No;13.6107336;-88.922049;690;0;Si;Si;Si;Si;Si;No;0.198;1.463334
Hombre;0.7;750;6;No;Si;No;No;No;No;No;No;13.66559027;-88.87147874;740;0;Si;Si;Si;Si;Si;Si;0.41448;2.49
Hombre;1.4;1350;7;No;Si;No;No;No;Si;No;No;13.846009;-89.290405;414;52.07407407;Si;No;No;Si;Si;No;2.59864;12.683278
Hombre;0.35;425;7;No;No;No;No;No;No;Si;No;13.747342;-89.666439;434;0;Si;Si;Si;Si;No;No;3.08352;7.710168
Hombre;0.7;550;5;No;Si;No;No;No;No;No;No;13.816889;-89.09061;605;0;Si;Si;Si;Si;No;No;1.07976;2.659412
Hombre;0.5;150;4;No;Si;No;No;No;No;Si;No;13.490905;-88.40879;739;0;Si;Si;No;Si;No;Si;0.29304;1.631597
Hombre;13;11000;6;No;No;No;No;No;Si;No;No;13.803529;-88.173576;779;0;Si;Si;Si;No;Si;Si;2.2792;17.815126
Hombre;13.3;7750;6.4;No;Si;No;No;No;No;Si;No;13.458779;-88.536863;949;3.225806452;Si;Si;Si;Si;Si;Si;0.33352;14.64
Hombre;3;1500;5.3;No;No;No;No;Si;Si;No;No;13.803878;-88.233978;957;0;Si;Si;Si;Si;Si;Si;0.63712;4.18
Mujer;0.7;300;5;No;No;No;No;No;Si;Si;No;13.8560289;-88.942948;544;0;Si;Si;Si;Si;Si;No;0.95304;2.631681
Hombre;1;1040;6;No;Si;No;No;No;No;No;No;13.727542;-89.454825;626;0;Si;No;No;Si;Si;No;1.65616;7.397731
Hombre;0.3;350;5;No;No;No;No;Si;Si;No;No;13.27608;-88.40868;15;0;Si;Si;Si;Si;Si;Si;0.42944;3.454
Hombre;0.22;250;6;No;No;No;No;Si;Si;No;No;13.9256229;-88.091379;823;0;Si;Si;Si;Si;Si;No;0.02024;0.831933
Hombre;0.12;150;4;No;No;Si;No;No;Si;No;No;13.74507333;-88.16086333;928;0;Si;Si;Si;Si;Si;Si;0.242;1.65
Mujer;0.7;300;5;No;Si;No;No;No;Si;Si;No;14.1525735;-89.657698;895;0;Si;Si;Si;Si;Si;No;1.88848;6.560253
Hombre;0.3;200;5;No;Si;No;No;No;No;Si;No;13.7832312;-88.949428;637;0;Si;Si;Si;Si;Si;Si;0.29304;1.81
Hombre;0.36;150;4;No;No;No;No;No;Si;No;No;13.695847;-88.27633;797;0;Si;Si;Si;No;Si;Si;0.1056;0.15
Hombre;3;3000;8;No;No;No;No;No;Si;Si;No;13.6672222;-89.66472222;193;0;Si;Si;Si;Si;Si;No;15.19408;63.052436
Mujer;1.4;1200;5.2;No;No;No;No;No;Si;No;No;13.9589722;-89.51191829;672;0;Si;Si;Si;Si;Si;No;1.84008;9.3121
Hombre;1;800;5;No;Si;No;No;No;No;Si;No;13.4931814;-88.417369;897;0;Si;Si;No;Si;No;Si;0.92136;4.973614
Mujer;1.2;1200;61;No;Si;No;No;No;No;Si;No;13.702732;-88.951163;676;0;Si;Si;Si;Si;No;Si;1.21968;7.3
Hombre;0.5;500;6;Si;No;Si;No;No;No;No;No;13.67705567;-89.74657072;151;0;Si;Si;Si;Si;Si;Si;6.70736;12.931009
Mujer;0.7;500;7;No;No;No;No;No;Si;No;No;13.90942333;-89.037305;491;0;Si;Si;Si;Si;Si;No;1.33848;4.600588
Mujer;0.3;300;4;No;Si;No;No;No;No;No;No;13.5223058;-88.45819;645;0;Si;Si;No;Si;Si;Si;0.21824;1.213698
Hombre;1;700;4;No;No;No;No;No;Si;No;No;13.546905;-88.432988;500;0;Si;Si;No;Si;No;Si;0.4664;2.575294
Hombre;0.5;425;7;No;Si;No;No;No;No;Si;No;13.769056;-89.652689;584;0;Si;Si;Si;Si;No;No;3.27096;8.095631
Hombre;1.75;500;14;No;No;No;No;Si;Si;No;No;13.3918;-88.5846;786.9;0;Si;Si;Si;Si;Si;Si;0.26488;6.9
Mujer;0.7;450;4;No;Si;No;No;No;No;No;No;13.521559;-88.45975;648;0;Si;Si;Si;Si;Si;Si;0.33264;1.808068
Hombre;1;1200;6.5;No;Si;No;No;No;No;Si;No;13.705905;-88.9508;698;0;Si;Si;Si;Si;Si;Si;1.59192;9.711932
Hombre;0.35;200;4;No;Si;No;No;No;No;No;No;13.7431271;-88.945765;708;0;Si;Si;Si;Si;Si;Si;0.11528;0.83
Hombre;0.3;200;5;No;Si;No;No;No;No;Si;No;13.7833838;-88.949414;637;0;Si;Si;Si;Si;No;Si;0.2288;1.39
Hombre;0.2;200;4;No;No;No;No;Si;Si;No;No;13.7599096;-88.2089268;1105;0;Si;Si;Si;Si;Si;Si;0.05984;0.33
Hombre;1.5;1000;5;No;No;No;No;No;Si;No;No;13.903018;-89.050313;565;0;Si;Si;Si;Si;No;No;1.45728;4.86958
Hombre;0.35;300;15;No;No;No;No;No;Si;No;No;13.3744292;-88.571558;147;0;Si;Si;No;Si;Si;No;0.1012;2.56
Hombre;1.25;500;6;No;Si;No;No;No;No;No;No;13.6111821;-88.907823;834;0;Si;Si;Si;Si;Si;Si;0.23232;5.03
Hombre;0.5;400;4;Si;Si;No;Si;No;No;No;Si;13.305181;-88.56554;25;0;Si;Si;Si;Si;Si;Si;0.18392;1.44
Hombre;0.5;500;6;No;No;No;No;Si;Si;No;No;13.9468183;-88.168191;1025;0;Si;Si;Si;No;Si;Si;0.44704;3.773109
Mujer;2;1800;8;No;No;No;No;Si;Si;No;No;13.673864;-89.434867;974;0;Si;Si;No;Si;Si;No;4.13864;19.149245
Hombre;0.7;600;6;No;No;No;No;Si;Si;No;No;13.8970974;-88.964602;346;0;Si;Si;Si;No;No;No;1.2012;4.001596
Hombre;0.5;500;5;No;Si;No;No;No;No;No;No;13.7800257;-88.9539;606;0;Si;No;No;No;Si;No;0.43472;2.83
Mujer;1;721;4;Si;No;No;Si;No;No;No;Si;13.349501;-88.735722;15;0;Si;Si;Si;Si;Si;No;1.24872;9.5
Hombre;0.7;500;6.2;No;No;No;No;No;Si;No;No;13.887518;-89.060708;577;0;Si;Si;Si;Si;Si;No;0.76736;4.52
Hombre;1.4;1100;6;No;Si;No;No;No;No;Si;No;13.6004287;-88.875613;991;0;Si;Si;Si;Si;Si;Si;1.2848;7.5
Hombre;1;300;7;No;Si;No;No;No;No;No;No;13.60349;-88.9358;621;0;Si;Si;Si;Si;Si;Si;0.16368;2.95
Hombre;0.35;300;6;No;Si;No;No;No;No;Si;No;13.740269;-88.990525;702;0;Si;Si;Si;Si;Si;Si;0.37576;2.31
Hombre;0.7;500;4;No;No;No;No;No;Si;No;No;13.511638;-89.404716;42;0;Si;Si;Si;Si;Si;No;1.23552;3.657731
Mujer;0.4;200;6;No;No;No;No;No;Si;No;No;13.7968783;-88.167235;714;0;Si;Si;Si;No;Si;Si;0.46376;2.856303
Hombre;0.25;180;7;No;Si;No;No;No;No;Si;No;13.685324;-88.962793;610;0;Si;Si;Si;Si;Si;Si;0.26928;1.7
Hombre;2;2000;3.6;Si;Si;No;No;No;No;No;No;13.47479817;-89.09598265;55;37.5;Si;Si;Si;Si;Si;No;1.3728;10.52
Hombre;0.03;30;10;Si;No;No;No;No;Si;No;No;13.5873975;-88.571213;49;0;Si;No;Si;No;Si;Si;0.09064;0.517647
Hombre;1.5;500;13;No;Si;No;No;No;No;No;No;13.32619212;-88.4192077;65;0;Si;Si;No;Si;Si;Si;0.14432;4.81
Hombre;14;14000;8.8;Si;Si;No;No;No;Si;No;No;13.75402833;-89.67589;469;10.71428571;Si;Si;Si;Si;Si;No;57.4816;194.334875
Hombre;0.35;200;5;No;Si;No;No;No;Si;No;No;13.8730354;-89.105913;819;0;Si;Si;Si;Si;Si;No;0.67584;1.716554
Hombre;1;800;4;No;No;No;No;Si;Si;No;No;13.75545333;-88.19406833;920;0;Si;Si;Si;Si;Si;Si;0.33792;2.376
Mujer;0.09;100;4;No;No;No;No;Si;Si;No;No;13.809893;-88.254601;928;0;Si;Si;Si;Si;Si;Si;0.07568;0.66
Hombre;5;3000;4;No;Si;No;No;No;No;Si;No;13.6228;-89.2958;754;0;Si;Si;Si;Si;No;No;1.5356;8.103952
Hombre;0.5;400;5;Si;Si;No;Si;No;No;No;Si;13.298781;-88.563582;25;0;Si;Si;Si;No;Si;Si;0.43912;2.56
Hombre;0.35;200;8;No;Si;No;No;No;No;Si;No;13.379;-88.512;212;0;Si;Si;Si;Si;Si;Si;0.51128;2.97
Hombre;4.2;3800;4.9;No;Si;No;No;No;No;No;No;13.7744177;-89.17045;444;5.263157895;Si;Si;Si;Si;Si;No;1.98704;11.73
Mujer;1;900;5;No;No;No;No;Si;Si;No;No;13.7880068;-89.080402;654;0;Si;Si;Si;Si;No;No;1.2232;4.267816
Hombre;1.2;1200;6;Si;No;Si;No;No;No;No;No;13.921778;-89.832917;8;0;Si;Si;Si;Si;No;No;3.7884;15.20311
Hombre;4.2;4000;5;No;Si;No;No;No;No;No;No;13.725098;-89.031638;698;0;Si;Si;Si;Si;Si;Si;2.88464;17.05
Hombre;0.7;500;7;No;Si;No;No;No;Si;No;No;13.8087419;-89.146634;486;0;Si;Si;Si;Si;No;No;1.0076;3.269496
Hombre;0.35;250;4;No;No;Si;No;No;Si;No;No;13.9889806;-89.806507;542;0;Si;Si;Si;Si;Si;No;0.46904;1.576051
Hombre;0.35;300;4;No;No;No;No;Si;Si;No;No;13.7826904;-89.075755;628;0;Si;Si;Si;Si;Si;No;0.38544;1.661092
Hombre;2.8;1800;6;No;No;No;No;No;Si;No;No;13.8880355;-88.957344;399;0;Si;Si;Si;Si;No;No;0.8316;2.92563
Hombre;0.35;300;4;No;Si;No;No;No;No;Si;No;13.7020587;-88.95346;670;0;Si;No;No;No;Si;Si;0.32472;2.03
Hombre;0.5;125;4;No;Si;No;No;No;No;No;No;13.4879242;-88.352487;849;0;No;Si;Si;Si;Si;Si;0.14696;1.298
Hombre;0.7;525;6;No;Si;No;No;No;No;Si;No;13.7682947;-89.683064;545;0;Si;Si;Si;Si;No;No;4.60328;11.489917
Hombre;1;950;8;Si;No;No;No;No;Si;Si;No;13.694444;-89.658056;298;0;Si;Si;Si;Si;Si;No;3.70744;15.058739
Hombre;2.5;200;6;No;Si;No;No;No;No;No;No;13.465375;-88.38033;490;0;Si;Si;Si;No;Si;Si;0.21384;1.44
Hombre;0.7;600;11;No;No;No;No;Si;Si;No;No;13.7615;-89.4332;469;0;Si;No;No;Si;Si;No;1.13608;5.061849
